,Final_text,label_num
63,مستخدم مبروك التخرج من وسم مهند الله يوفقك,0
64,برقيه للامير خالد الفيصل وانت في البيت عن طريق التلفون رابط,0
65,مستخدم عدم ظهور انهاء مشترك لم تظهر لي ماهو الحل,1
66,انا قاعد بسمع ام كلثوم ودعونا ننسي رياضه كره القدم اليوم,0
67,مين ياخذ تذكره زايده جنبي حجزتها بالغلط باقل من سعرها وسم كاظم_الساهر_في_الرياض وسم كاظم_الساهر وسم حفله وسم موسم_الرياض وسم كاظم_وحشتنا,1
68,مستخدم عندي عامل دخل المملكه قبل الازمه واريد عمل فحص الاقامه لاصدار اقامه له كيف يتم ذلك حتي لا تسجل غرامه التاخير,1
69,عن انس بن مالك رضي الله عنه ان اهل مكه سالوا رسول الله صلي الله عليه وسلم ان يريهم ايه فاراهم القمر شقتين حتي راوا حراء بينهما وسم وسم,3
70,الظاهر جماعتنا يبغون اي نادي اسمه يونايتد غير اسمك يا ملعون مستخدم رابط,0
71,مستخدم السلام عليكم انا كتبي لي اني مستحق واذا بختار لي من المشايع الاسكان هل ادفع مبلغ ولا لا لانه انا من مستفدي الضمان,1
72,دخل نبينا مكه فاتحا بعد محاربه اهلها واضطروه للهجره منها وكان عند دخولها مطرقا راسه مظهرا تواضعه لربه وسم نشر_سيرته وسم,3
73,الكلام ده كبير ياعم رونالدينهو واحنا مش ناقصين الواد يتغر,0
74,يعني لا تعليق الشركه زي ابد لاتعليق يجي يوم ويفصل النت ايام وسم فايبر_STC_بريال,0
75,في العالم من القسوه ما يكفي فلتكن انت اللين اتمني كل شخص ياخذ هالمقوله بعين الاعتبار,4
76,وسم مضغوط_و_مقلقل حوش بقشان في جده اطلق واحد بس ما ادري ليه قفلوه بالرغم من الجوده وثقه الناس تعجب تعجب,0
77,عن سالم عن ابيه رضي الله عنه قال رايت رسول الله صلي الله عليه وسلم حين يقدم مكه اذا استلم الركن الاسود اول ما يطوف يخب ثلاثه اطواف من السبع,5
78,النكته حسب ما سمعت ح تيجي بنسخه نظيفه تعجب يعني يتوافق مع عاداتنا و شريعتنا تعجب و النعم والله رابط,0
79,ارقي نظره قد تكتسبها هي حين تكبر في عين نفسك,0
80,عاجل وسم روسيا تسجيل وفيات جديده ب وسم كورونا و اصابه ترفع اجمالي الاصابات الي,3
81,ثم ياتي الله باكثر شيء يعلم انه سيقر عينك و يعوضك به علي صبرك,0
82,مكه والمدينه الله يرزقني زيارتها وسم اي_مدينه_سعوديه_تحبها,2
83,مستخدم لو سمحتم هل فعلا اقل سعر للطلب هو ٢٧ وبالسابق كانت ١٦,1
84,مستخدم لو سمحت سددت فاتوره النت وماشتغل الي الان وماقدرت اتواصل معاكم وش الحل,1
85,مستخدم تذكرت مقوله اعمل لتعيش لا تعش لتعمل بس في هذي المرحله من الحياه ما اقدر احكم اذا فعلا صحيحه او لا,0
86,اول ماتخلص ازمه كورونا وينفك حظر التجول ماراح اجي البيت الا للضروره القصوي,0
87,والله غبي كان فيه كورونا هموت عليها رابط,0
88,هتفضل الكليه هي من اكتر الاماكن اللي بكرهها في حياتي,0
89,اللهم فرجا لكل ضيقه في صدورنا,2
90,رفعت لله قنديلي فاوقده فهل تظن يدا في الارض تطفءه,0
91,مستخدم استاذ حسن التسجيل في كاوست ينتهي الليله في الساعه ١٢ او الساعه ١٢ الليله القادمه,1
92,نسمع في الفايبر والهاتف ولا شفناها في حي الرحاب السلمانيه شمال الدرعيه رابط,0
93,يلي كنت مني و صرتلي غريب لا م تفكر اني من بعدك رح غيب,0
94,وزاره الصحه الاسراءيليه ارتفاع عدد المصابين بفيروس وسم كورونا الي حاله وارتفاع عدد الوفيات الي,3
95,ماينفع الغي اشتراكي واشترك من جديد وسم فايبر_STC_بريال,0
96,لا تخسر قيمتك بكلمه ولاتفقد احترامك بزله السكوت في اغلب الاحيان حكمه,4
97,امتلك افضل صديق في مجره درب التبانه,0
98,اتصبر وقول اني علي البعد قاوي والله اعلم بقلبن فيه الاشواق حيه  وسم خالد_الفيصل,4
99,مستخدم سلام وعليكم في الموقع يقول اني مستفيد من دعمكم وهذا غير صحيح وش الحل رفعت اعتراض ولم يتم الرد علي,1
100,مستخدم مستخدم مستخدم مين الكفو فيكم اللي يوصل لمنتزه الملك سلمان انا جوعان ومشتهي بيتزا,0
101,ودي ادخل النادي رقص شرقي بدال رياضه بس قفلوا الرقص لاازم ادور نادي غيره,0
102,اجمل حاجه شوفتها النهارده الاب هو الحب الحقيقي الاول والاجمل لاي بنت وحقيقي مافيش زي حب الاهل رابط,0
103,يا رب انا مش عايزه اعيش لليوم اللي هتعذب فيه علي فراق احبابييارب اجعل يومي قبل يومهم,2
104,كان نفسي ابقي السيء في روايه احدهم بس كلها كانت قصص قصيره والله مكنتش بلحق,0
105,مستخدم عظم الله اجركم واحسن الله عزاكم ورحم الله ميتكم واسكنها فسيح جناته,2
106,ايقاف الدفع النقدي كاجراء احترازي وسم كورنا لجميع تطبيقات خدمه التوصيل لكافه القطاعات تقبل البطاقات البنكيه بكافه انواعها وسم كن_واعيا,3
107,مستخدم السلام عليكم اخوي طلع صك اعاله للوالده هل تستطيع الوالده السفر معي انا,1
108,لما تتمشي في مناطق حدوديه بين مصر والاردن والسعوديه الشبكه تخبط فجاه ترسل ترحيب فجاه تتحمد لك بالسلامه تعجب,0
109,اعرفك يا بعد عمري جنابك في السما من فوق,0
110,كارفور جيان مءه فلس روبيه فيفا,3
111,مستخدم عند وضع الشركه الموظف في ساند واجباره علي العمل مع دفع باقي الراتب هل هناك ضرر علي الموظف,1
112,وسم نيوم وينهم عنها من زماان طبيعتها مبهره وخلابه وساحره شكرا وسم محمد_بن_سلمان,0
113,مستخدم السلام عليكم عندكم شراء مديونيه من بنك اخر استفهام وكم عدد الرواتب لاستخراج قرض,1
114,وسم فايبر_STC_بريال لازالت ال وسم تمارس انواع النصب ع شعبنا السعودي العظيم وسم السعوديه_العظمي,0
115,مستخدم المفروض ما احد يدخل اي سوبر الا لابس كمام وقفازات,4
116,مستخدم السلام عليكم هل رفع ايقاف الخدمات التي امر بها خادم الحرمين الشريفين تشمل البنوك في حاله عدم السداد,1
117,وسم لاعبك_المفضل_عام_ الله علي اخلاقك يا ابو مكه,0
118,مستخدم مستخدم مستخدم مستخدم مستخدم مستخدم وسم مدرسه__لبن مافيه تعاون مع شكوي اوليا الامور,0
119,لا اتفق لقد احببت ٩٩ عيبا و ابتذلت في حبهم انا محب للعيوب رابط,0
120,ونعوذ بك يا الله من تغير القلوب بدون حجه ومن عداوه تاتي بعد المحبه ومن الخيبه فيمن احسنا يوما الظن بهم,2
121,من امس اسالكم وماتردون التامينات الاجتماعيه كيف احدث بياناتي عشان راتبي مايتوقف استفهام مستخدم مستخدم مستخدم مستخدم,1
122,الوضاعه ليس في ان تاتي بفعل وضيع وانما ان تستمر في اتيانه تعجب,4
123,الله اخزي كفار مكه ب وسم محمد_صلي_الله_عليه_وسلم واخزي عاق الوالدين بمحمد بن سلمان في وسم قمه_العشرين_اليابان,0
124,الحب ياتي مره واحده في العمر والاعجاب مرات فلا تخلط بينهم فتندم,0
125,مستخدم مستخدم مستخدم سمعت ياعبدالعزيز ارجو ان نري ردك في الملعب,0
126,عن سالم عن ابيه رضي الله عنه قال رايت رسول الله صلي الله عليه وسلم حين يقدم مكه اذا استلم الركن الاسود اول ما يطوف يخب ثلاثه اطواف من السبع,3
127,عن انس بن مالك رضي الله عنه ان اهل مكه سالوا رسول الله صلي الله عليه وسلم ان يريهم ايه فاراهم القمر شقتين حتي راوا حراء بينهما وسم وسم,3
128,الانترنت جدا سء في حي المونسيه الي متي هذا الوضع خدمه لاتتجاوب مع شكاوي العملاء ساضطر الي الانتقال الي خدمه اخري,0
129,مستخدم مسوين لي بلك قليلين المهنيه تعجب مستخدم مستخدم مستخدم,0
130,مستخدم السلام عليكم ارجو التكرم بوضع رابط الدخول علي المتصفح لبرنامج المستشار العقاري اعمال صفحه الدخول,2
131,هم فين المثقفين دول انا مش شايفه غير لا مءاخذه خوالات لا راي ليهم ولا موقف مشرف رابط,0
132,انا متزوجه وي ليت ينزل بحسابي وسم حساب_المواطن,2
133,وسم نيوم اول مره اسمع به احسبها مو بالسعوديه,0
134,نام تاركا حلمه في وداءع الله فايقظه الله علي نور الاجابه ونعم بالله العلي العظيم,0
135,مستخدم مستخدم مستخدم مزاج ايه دي شكلها ب يودي في داهيه,0
136,عاجل الصحه تسجيل اصابه جديده بكورونا خلال ساعه وسم كورونا وسم فيروس_كورونا وسم وزاره_الصحه وسم عبدالله_السند,3
137,مستخدم بيجيلنا من غير لايكات ياباشا,0
138,مستخدم السلام عليكم ارجو التواصل علي الخاص للضروره,2
139,٨٠ عماره كل عماره من ٨ ادور كل دور ٤ شقق بدون مواقف للاسف مشروع المدينه المنوره وانت تفهم مستخدم,0
140,يالله بصباح الخير نصحي ع اخبار نفس كذا تعجب الله يعدي هذي الايام ع خير وسم عمان_تواجه_كورونا وسم اللجنه_العليا وسم كورونا_الجديد وسم صباح_الخير,2
141,ردود وللفرحه وجود ولايام العيد وقت محدود فلك تهنءه بلا حدود كل الحكايه في الرساله تهاني يزفها م وسم مساببقه_ددونات_مماك,0
142,من السنه النبويه قل قبل نومك باسمك ربي وضعت جنبي وبك ارفعه ان امسكت نفسي فارحمها وان ارسلتها فاحفظها بما تحفظ به عبادك الصالحين,3
143,مستخدم ملي نشفي لروحي نهدر واللي ماعجبتوش نبلوكيه خليهم يمرضو في بلاصتي,0
144,انا الفرحان في شوفتك وانا اللي قرت عيوني والله,0
145,في ناس المفروض الزق يرفع عليهم قضيه انتحال شخصيه,0
146,مستخدم معقوله جايبين اصاله تحط مكياج علي حسابكم الرسمي في انستقرام ولا في محاور,1
147,بكرا لازم اصحي بدري وانا للان مانمت متاكده اني بندم علي هذا الوقت,0
148,اعلن وسم العراق عن ارتفاع عدد الوفيات بفيروس وسم كورونا الي والاصابات الي وسم للخبر_مصدر وسم خليك_بالبيت وسم معا_ضد_كورونا,3
149,مستخدم السلام عليكم استفسار هل هو صحيح انه راح يتم الغاء البناء الذاتي من بدايك شهر ميلادي,1
150,مستخدم باسدد الاجار حق شهرين احط رقم العقد يطلع لي المبلغ ماكانه علي شي ايش الحل,1
151,اللي معدنه طيب ما تغيره الظروف والكفو يبقي كفو لو الزمن هد حيله وسم انا_اشهد وسم خالد_الفيصل وسم مما_راق_لي,0
152,اللهم صل وسلم وبارك علي سيدنا محمد وعلي اله وصحبه وسلم تسليما كثيرا,2
153,في دستور الحب من احيا قلبا بعد موته ف هو له,0
154,الله وحده يعلم بتلك الوخزه في قلبك التي تخبر عنها احد تستمر بتحملها و مداراه المها قدر المستطاع ولا تشتكي,0
155,مستخدم مستخدم مستخدم تستاهلو كل خير,0
156,التعليم في اغلب دول العالم توقف بسبب فايرس كورنا ي تري السعوديه هتوقف برضو استفهام,1
157,ثريد ملجم لكل من يكرر جمله كروس لاعب جبان واغلب تمريراته للخلف رابط,0
158,مستخدم هل من ضمن حالات كورونا بالطاءف حالات من قياء بالحارث,1
159,وانا كيف احضر مو مكتوب لي يعني رابط,1
160,نواجه فايروس كورونا بالوعي والالتزام بالاجراءات والتعليمات الصحيه وليس بالتفاخر والمديح السمج تعجب تعجب وسم انت_توحي استفهام,4
161,مستخدم السلام عليكم احنا اربعه وجيت اجدد طلع مقابل مالي ٢٣٦٧٣٠١١٠٤,0
162,يا ناس وش اسوي مطعم في مكه وسم هدايا_سناب_كوره_شو,1
163,عندي موعد بكره في المستشفي و المشكله انه ضرووري ولا يتاجل و خايفه من كورونا احسه وحش ينتظرني عند باب الشارع,0
164,مستخدم السلام عليكم ورحمه الله وبركاته انا ماعندي دفعه ولا اقدر ادفع رسوم اداريه للبنك ماذا افعل اسكن في الصحراء,1
165,مستخدم هل لازال حظر العمل بنسبه للمكاتب الرءيسيه,1
166,يجماعه انا سعيد بالي جالس اشوفه وسم اساطير_في_قادم_الزمان,0
167,مستخدم يوجد لي وافد تم عمل حساب ابشر له و عند التفعيل عن طريق جهاز ابشر تم ظهور رساله انه لا توجد بصمه,0
168,مستخدم في خاطري كلمهحسبي الله ونعم الوكيل,0
169,طلبت شريحه من اس تي سي من ربع ساعه ووصلت الان تحت استفهام قلبي مش مرتاحلو وفي حاقه نفسي يوم اصرح لوو بكذا حاقه يحسب له سرعه الاداء مستخدم,1
170,مستخدم سلام عليكم عندي تصريح انعام هل استطيع الذهاب للحراج لشراء الاعلاف,1
171,اعتقد انا انه في رابط بالبايو,5
172,وسم عاجل وزاره الصحه البلجيكيه تسجيل حاله وفاه بسبب فيروس وسم كورونا ليرتفع اجمالي الوفيات الي,3
173,في حاله صراع بين اني بحاول اكون كويسه و بين اني مش قادره اكون كويسه,0
174,حقيقي كل ما ابغاه في هذي الحياه السلام,0
175,مستخدم عندي استفسار انا شريت من محل خضار وحاسبت شبكه وطلع عندي بعمليه السحب اسم ورشه عادي ولا,1
176,احس مافهمت حركه موسم جده وهم يكتبون اعلان التذاكر بالكوري,0
177,مستخدم مع اني حمدلله م ابرد بسرعه بس اقدر وضع الي كذا,0
178,مستخدم السلام عليكم عزيزي حبيت اسالك سءال بخصوص الايجار هل من كان يمكلك نشاط شمله الاغلاق ملزوم بدفع الايجار استفهام وشكرا,1
179,انا في صف ال قالوا الحب اعمي وفي طلب رابح المر ليته يشوف لان مو انصاف اني احبك هالكثر ولا يبان,5
180,مستخدم هل دورات او برامج تدريبيه تخض البيءه والزراعه,1
181,اجدك في اغنيتي المفضله بين لوحاتي المبعثره و في قاع كوب قهوتي المره,0
182,لا تبالغ في شعورك فالاغلبيه عابرين,4
183,لما تكون حزين العب رياضه ولما تكون تتالم خذ قلم وورقه واكتب,4
184,مستخدم انا ندور في من انفش غلي فيه,0
185,المدير العام لمنظمه الصحه العالميه اضعنا فرصه لمكافحه فيروس وسم كورونا في بدايته ولكن هناك فرصه جديده وما زال الامر ممكنا,3
186,عرس يمني المعازيم يشاركون فرحه العريس في البث المباشر علي الفيس بوك وسم كورونا رابط,3
187,وسم وزاره_الصحه تسجيل اصابه جديده بمرض فيروس وسم كورونا وسم كوفيد,3
188,مستخدم السلام عليكم ازاي احدث مفوض بمكتبه العمل للتسجيل بموقع ايجار,1
189,مستخدم مستخدم يا اخوان وش المشكله في الرد اذا ارسلنا لكم في العام قلتوا تعال خاص و اذا جينا في الخاص ما تردوا علينا تعجب تعجب,1
190,الحمد لله وهذا مانريده ان لاتكون فتنه بين شعبين كريمين وسم مصر و وسم الجزاءر رابط,0
191,السلام عليكم اخووي انا مستاجر وابغي صوره من عقد الايجار كيف احصل عليها مستخدم,1
192,تزوج خديجه وعمره سنه وابتعثه الله رسولا بان اتاه جبريل وهو بغار حراء وكان عمره سنه واقام بعدها في مكه سنه قبل الهجره وسم نشر_سيرته,3
193,اذا نجاك الله من شء فلا تقل بسبب صلاتي للفجر او صدقتي او ملازمتي اذكاري قل نجاني الله برحمته,0
194,مستخدم مستخدم تركيزها في المشهد يحمل دلالات تبطنها وحدها,0
195,وكاله الصحافه الفرنسيه المحصله الاجماليه لوفيات فيروس كورونا تخطت الفا غالبيتها في اوروبا,3
196,وسم الشعب_يستغيث_من قزم اختطف الحكم جعل مصر في مءخره الدول,0
197,السهره اللي جمبنا ازا ما سكتوا هسا بنزل بقعد عندهم,0
198,مستخدم كيف اشتكي علي محل خضار يزيد الاسعار ومعي فاتوره تثبت تلاعبهم تطبيق راصد ماضبط معي,1
199,انا مدري هي تبغي تروح تحضر ولا ماتبغي ولا هي ماتبغاها تجي استفهام حددي,1
200,المعلم ادوارد جايب صنايعي محاره يشطب ال اولد ترافورد سوبر لوكس,3
201,مستخدم مرحبا انا مسجل مستقل في حساب المواطن واعيش مع اهلي ومسجل العنوان من بدايه التسجيل وما عندي عقد ايجار او تمليك وش المطلوب مني,1
202,مستخدم السلام عليكم هل اقدر اقدم بلاغ في حال كان السوبر ماركت مزدحم جدا و ما فيه تنظيم و لا نظافه,1
203,سعيده فيك كان الدنيا لمت افراحها كلها بوجودك يالصديقه اللي كل ما دارت الدنيا ثبت يالاكثر حنيه واطيب قلب,0
204,شكرا للنوم الروايات الموسيقي ولاي شيء ساهم في الاستغناء عن التواصل البشري,0
205,لو تكرمت مبادره عوده المقيمين هل تشمل اليمنين لاننا مقدمين في ابشر يرفض مستخدم,1
206,كل الشهور عاديه الا ذاك الشهر,0
207,مستخدم مستخدم مستخدم اقري عن شهار اذا امورهم كويسه نروح نصيف عندهم اسبوع,0
208,ماراح انام الظهر عشان انا بدري بالليل اهه بس,0
209,مستخدم الفنان هدا لازم يستمر في العطاء تعجب قرند للايف,0
210,اقتراح مخالفه الاشخاص الذين لايتقيدون بلبس الكمامه او القفاز عند الخروج من المنزل تعجب مستخدم,4
211,ستمر الايام رغم مرارتها باذن الله وفي يوم ما سياتي العوض بطريقه تبهج الروح,0
212,مستخدم السلام عليكم ورحمه الله وبركاته متي يتم اناره حي الزمرد بابحر الشماليه اود اطلع علي اخر الحلول,1
213,ابدعت هيءه الترفيه في اقامتها لمثل هذه الفعاليات التي جذبت العديد من الزوار في اغلب اماكن جده وسم موسم_جده,0
214,قلبك عامر بالايمان عباره تناسب الكثير من المغردين مع فيروس كورونا,4
215,مستخدم لدي مزرعه في منطقه القصيم في قريه روض الجواء وانا من سكان الرياض هل استطيع الحصول علي تصريح حيث لدي نخيل عددها نخله وتحتاج عنايه,1
216,صوت راشد الماجد عباره عن ذكريات والله رابط,0
217,مستخدم الشحنه هذي لها اكثر من اسبوع في مكه استفهام متي رح توصلني,1
218,ولا اذكر في الشديد الصعب خليته يخليني علي جسر المسيب ليه استفهام,0
219,مستخدم عندي سياره صار لها اشهر ماتحركت وجاء عليها مخالفه فحص بقيمه ريال هل الاعتراض ينفع او يلزم السداد,1
220,ذكريات الطفوله اهم شي كنا نلعبها وفي كل غرفه مخبين كور عاساس هي الكرستالات,0
221,مستخدم السلام عليكم نشفان الحلق والصداع من اعراض كورونا,3
222,مستخدم مستخدم علي اساس وضعنا في التوب ما عندنا مهاجمين يا عزيزي,0
223,ياباشمهندس احمد منوروش الهرم عشان واحد ابن حرام قال حرام رابط,0
224,الله يشل اركان علي هذا النت المروح,0
225,هذا يعطي مءشر ان الجامعه مقصره في تنبيه الطلاب علي اهميه اسرار المهنه وخاصه طلاب الطب وذلك بعدما امر وسم خالد_الفيصل بالقبض عليهم تعجب تعجب تعجب تعجب,0
226,صلاه الفجر تنير وجهك و تصلح دربك وتيسر عملك وتجعلك في ذمه الله,4
227,مستخدم اصاله عن نفسي وابناءي ونيابه عن جميع افراد المجتمع اقدم لكم كل الشكر والتقدير والدعوات علي ماتقدمونه من خدمات انتم فخرنا,0
228,الصندوق السيادي السعودي يتفاوض علي قرض مءقت ب مليار دولار,3
229,مستخدم تيجي معاياا تيم هاش ورغي وكدهعشاان انا حبيتك بصراحه,0
230,لاتعليق من علامات قروب الساعه باختصار اللهم نسالك حسن الخاتمه رابط,2
231,يا الله رحمه الله رحمه واسعه وجعل الجنه مستقره راحه ونعيما لا ينفد امين رابط,2
232,مستخدم مستخدم صحيح في حريه تعبير في امريكا بس اللوبي الصهيوني خط احمر كمان السياسه و الدين غير مرغوب التكلم فيهم كثير,0
233,مستخدم السلام عليكم عندي سوال بخصوص الحالات التي تسجل يوميا هل هم من المحجورين وتو ظهرت الاعراض عليهم ام غير محجور عليهم,1
234,عندنا نفس الحاله شكلك داخل علي سعار مش كورونا خالص رابط,0
235,مستخدم لكم فرع في جده حي السامر استفهام,1
236,مستخدم الرقم المجاني اتصل عليهم من ٨ الصباح مااحد يرد كل الاهتمام في اهل المواشي طيب ليه النحال مهمش,1
237,تخوض معاركه من اجله فيقتلك هو,0
238,الذءاب لا تتزوج الا مره واحده في حياتها ولو مات شريكها فانها تبقي بلا شريك حتي تموت وسم ننمط_الطيران_والراتب,3
239,وسم نيوم وسم خادم_الحرمين وسم الملك_سلمان_بن_عبدالعزيز مستخدم اجازه سعيده يا قاءدنا ومليكنا الله يحفظك ويرعاك ويقهر ويذل من عاداك,2
240,مستخدم السلام عليكم انا عندي موسسه لتسويق البيض والدواجن ولدي موزعين اخذ من المزارع واوزع مباشره وارجو اعطاءي تصريح تنقل لي ولسيارتي,2
241,الناس بتعيط علي الحاجه مره واحده انما انا بعيط وقتها ولما افتكرها ولما احكيها ولما اتسال عنها,0
242,في صدفه في اولها تطيرك وتبقي مبسوط بيها وبعدها بتاخد علي دماغك ومتعرفش تفوق,0
243,مستخدم السلام عليكم فيه عندي مشكله بتسديد الايجار للمءجر لي ايام ويرفض,2
